date,time,hospital_id,hospital_name,emirate,hospital_type,day_of_week,is_weekend,is_public_holiday,month,day_of_year,temperature_C,humidity_pct,expected_visits,daily_ER_visits,critical_cases,prev_day_visits,ma_7,ma_14,dow_num,day_sin,day_cos,lag_1,lag_2,lag_3,lag_7,lag_14,is_holiday,days_since_hol,days_to_next_hol
2022-01-01,20:35:50,1,Al Noor Hospital,Abu Dhabi,Public,Saturday,1,1,1,1,33.2,50.5,179.8,73,8,73,73.0,73.0,5,0.017201575418260506,0.9998520419557735,73.0,73.0,73.0,73.0,73.0,1,0,0
2022-01-02,19:11:57,1,Al Noor Hospital,Abu Dhabi,Public,Sunday,1,0,1,2,31.9,54.4,141.7,113,3,73,93.0,93.0,6,0.03439806061360801,0.9994082116062598,73.0,73.0,73.0,73.0,73.0,0,1,185
2022-01-03,20:03:30,1,Al Noor Hospital,Abu Dhabi,Public,Monday,0,0,1,3,27.6,57.3,119.0,133,7,113,106.33333333333333,106.33333333333333,0,0.051584366869408364,0.9986686402879997,113.0,73.0,73.0,73.0,73.0,0,2,184
2022-01-04,21:02:27,1,Al Noor Hospital,Abu Dhabi,Public,Tuesday,0,0,1,4,30.5,41.3,124.9,201,13,133,130.0,130.0,1,0.06875540848113941,0.9976335468520451,133.0,113.0,73.0,73.0,73.0,0,3,183
2022-01-05,19:09:11,1,Al Noor Hospital,Abu Dhabi,Public,Wednesday,0,0,1,5,31.0,55.5,126.5,146,4,201,133.2,133.2,2,0.08590610426133272,0.9963032375991965,201.0,133.0,113.0,73.0,73.0,0,4,182
2022-01-06,04:22:32,1,Al Noor Hospital,Abu Dhabi,Public,Thursday,0,0,1,6,30.3,51.9,125.6,234,15,146,150.0,150.0,3,0.10303137904317879,0.9946781061893646,146.0,201.0,133.0,73.0,73.0,0,5,181
2022-01-07,20:29:19,1,Al Noor Hospital,Abu Dhabi,Public,Friday,1,0,1,7,32.5,52.8,145.7,142,8,234,148.85714285714286,148.85714285714286,4,0.1201261651823505,0.9927586335250793,234.0,146.0,201.0,73.0,73.0,0,6,180
2022-01-08,11:45:53,1,Al Noor Hospital,Abu Dhabi,Public,Saturday,1,0,1,8,34.3,52.2,150.1,114,10,142,154.71428571428572,144.5,5,0.13718540405660057,0.9905453876091833,142.0,234.0,146.0,73.0,73.0,0,7,179
2022-01-09,16:57:33,1,Al Noor Hospital,Abu Dhabi,Public,Sunday,1,0,1,9,31.5,55.8,145.0,108,9,114,154.0,140.44444444444446,6,0.1542040475626894,0.988039023376751,114.0,142.0,234.0,113.0,73.0,0,8,178
2022-01-10,13:36:51,1,Al Noor Hospital,Abu Dhabi,Public,Monday,0,0,1,10,33.1,42.5,133.0,182,10,108,161.0,144.6,0,0.17117705961019986,0.985240282501282,108.0,114.0,142.0,133.0,73.0,0,9,177
2022-01-11,13:26:47,1,Al Noor Hospital,Abu Dhabi,Public,Tuesday,0,0,1,11,30.6,45.9,128.7,113,7,182,148.42857142857142,141.72727272727272,1,0.18809941761179758,0.9821499931752291,182.0,108.0,114.0,201.0,73.0,0,10,176
2022-01-12,12:23:21,1,Al Noor Hospital,Abu Dhabi,Public,Wednesday,0,0,1,12,32.5,42.9,132.8,137,10,113,147.14285714285714,141.33333333333334,2,0.20496611396949532,0.9787690698649216,113.0,182.0,108.0,146.0,73.0,0,11,175
2022-01-13,13:52:59,1,Al Noor Hospital,Abu Dhabi,Public,Thursday,0,0,1,13,29.5,49.3,127.6,77,4,137,124.71428571428571,136.3846153846154,3,0.22177215755648186,0.975098513039961,137.0,113.0,182.0,234.0,73.0,0,12,174
2022-01-14,13:32:53,1,Al Noor Hospital,Abu Dhabi,Public,Friday,1,0,1,14,28.0,49.4,140.0,158,7,77,127.0,137.92857142857142,4,0.23851257519407648,0.9711394088771653,77.0,137.0,113.0,142.0,73.0,0,13,173
